Address,Latitude,Longitude,Property Type,Bedrooms,Bathrooms,Parking Spaces,Price,Auction Date,Description,Agent Name,Agent Phone,Image URL
"J7HH+P9 Cape Bridgewater VIC, Australia",-38.37074063931914,141.27843296961117,Unit,5,1,3,"$734,231",,A beautiful property located in the heart of VIC.,Agent 879,+61 486 142 393,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.37074063931914,141.27843296961117&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"X95H+W6 Morundah NSW, Australia",-35.04018337225557,146.37801741484566,Unit,5,3,3,"$1,413,047",,A beautiful property located in the heart of VIC.,Agent 311,+61 433 647 721,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.04018337225557,146.37801741484566&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"7RMQ+HQ Bemm River VIC, Australia",-37.716096931188005,148.8393923957109,House,4,1,3,"$974,886",,A beautiful property located in the heart of VIC.,Agent 908,+61 459 809 391,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.716096931188005,148.8393923957109&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"HJMG+55 Allansford VIC, Australia",-38.417007229306904,142.62547789399298,Unit,3,2,3,"$719,860",,A beautiful property located in the heart of VIC.,Agent 799,+61 402 604 241,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.417007229306904,142.62547789399298&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RH3M4F9+CR,-38.32641478783995,141.11960903371656,House,5,1,2,"$514,667",Sun 03 Nov 02:57 AM,A beautiful property located in the heart of VIC.,Agent 232,+61 463 757 988,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.32641478783995,141.11960903371656&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"XH3P+X5 Oura NSW, Australia",-35.04510234052039,147.58545973753561,Apartment,1,2,2,"$1,803,359",,A beautiful property located in the heart of VIC.,Agent 836,+61 414 240 269,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.04510234052039,147.58545973753561&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"W9FP+PH Highlands VIC, Australia",-37.07571282874152,145.38641938381295,House,2,2,2,"$1,453,448",Sun 03 Nov 02:57 AM,A beautiful property located in the heart of VIC.,Agent 590,+61 480 589 592,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.07571282874152,145.38641938381295&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"FF72+X9 Myrtle Park NSW, Australia",-35.535000277683835,145.45092072842678,Apartment,3,2,2,"$1,980,154",,A beautiful property located in the heart of VIC.,Agent 611,+61 402 325 407,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.535000277683835,145.45092072842678&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"GGRH+43 Wedderburn VIC, Australia",-36.45965607549694,143.5276772948051,Unit,1,2,1,"$1,107,181",Sun 03 Nov 02:57 AM,A beautiful property located in the heart of VIC.,Agent 694,+61 474 882 134,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.45965607549694,143.5276772948051&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"QPGX+6Q Alexandra VIC, Australia",-37.22448464576634,145.74947773085594,Apartment,5,1,1,"$1,199,811",,A beautiful property located in the heart of VIC.,Agent 239,+61 478 420 401,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.22448464576634,145.74947773085594&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"W8W6+PW Granya VIC, Australia",-36.053188983363015,147.31234449664208,Unit,1,3,2,"$1,960,088",Sun 03 Nov 02:57 AM,A beautiful property located in the heart of VIC.,Agent 674,+61 436 593 305,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.053188983363015,147.31234449664208&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"734W+XF Culgoa VIC, Australia",-35.74252957787294,143.09620747877725,House,4,2,3,"$840,960",Sun 03 Nov 02:57 AM,A beautiful property located in the heart of VIC.,Agent 935,+61 471 629 520,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.74252957787294,143.09620747877725&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"QWMP+W7 Ararat VIC, Australia",-37.215129170013356,142.93568617792812,Unit,5,3,3,"$1,790,173",,A beautiful property located in the heart of VIC.,Agent 457,+61 496 784 960,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.215129170013356,142.93568617792812&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"W26G+JQ Selwyn VIC, Australia",-37.088464087258366,147.02692477126746,Unit,5,2,2,"$653,357",,A beautiful property located in the heart of VIC.,Agent 555,+61 468 291 526,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.088464087258366,147.02692477126746&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"F8RM+X2 Ultima VIC, Australia",-35.50754451379926,143.33259099199051,House,4,1,1,"$1,029,431",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 652,+61 499 475 486,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.50754451379926,143.33259099199051&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"P4PC+7X Tarranyurk VIC, Australia",-36.26426824666617,142.12241736809779,Unit,2,3,3,"$1,176,987",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 124,+61 498 279 144,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.26426824666617,142.12241736809779&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"JQP3+7F Ensay VIC, Australia",-37.364329315201914,147.7536322297624,House,5,1,2,"$1,717,944",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 341,+61 467 119 633,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.364329315201914,147.7536322297624&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"CVGM+6C Mickleham VIC, Australia",-37.57444850087217,144.88354801465533,Unit,3,2,3,"$1,661,534",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 786,+61 454 415 165,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.57444850087217,144.88354801465533&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"68JW+VV Holbrook NSW, Australia",-35.767862810683724,147.34720097766214,Unit,2,3,3,"$1,290,739",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 369,+61 419 396 888,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.767862810683724,147.34720097766214&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"5HV5+M7 Digby VIC, Australia",-37.80587396180076,141.55813621774007,Apartment,1,3,2,"$1,551,590",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 783,+61 400 531 806,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.80587396180076,141.55813621774007&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"7JHR+7C Muskerry VIC, Australia",-36.721809286221756,144.64100264771082,Unit,3,3,1,"$1,382,145",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 620,+61 435 604 698,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.721809286221756,144.64100264771082&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"RC2F+68 Cowangie VIC, Australia",-35.19945674477532,141.42327125805028,House,5,2,3,"$1,108,300",,A beautiful property located in the heart of VIC.,Agent 183,+61 497 928 627,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.19945674477532,141.42327125805028&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"9X8W+84 Derby VIC, Australia",-36.63418894481688,143.99535203205707,House,5,1,1,"$1,936,176",,A beautiful property located in the heart of VIC.,Agent 138,+61 478 232 424,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.63418894481688,143.99535203205707&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RP3GPM7+H6,-35.46608872496958,141.71307460192637,Unit,5,2,1,"$1,733,287",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 658,+61 481 516 566,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.46608872496958,141.71307460192637&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"M59R+MV Wangandary VIC, Australia",-36.33080305651639,146.1922069674463,House,3,3,1,"$1,323,297",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 923,+61 489 288 528,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.33080305651639,146.1922069674463&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"55MP+VX Strathdownie VIC, Australia",-37.81529958542844,141.18741294684517,House,4,2,3,"$800,031",,A beautiful property located in the heart of VIC.,Agent 156,+61 421 322 146,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.81529958542844,141.18741294684517&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"9W6M+PR Pleasant Park SA, Australia",-37.6382219125134,140.93458814853233,Unit,1,2,2,"$775,733",,A beautiful property located in the heart of VIC.,Agent 299,+61 477 403 478,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.6382219125134,140.93458814853233&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"GFM7+M5 Grand Ridge VIC, Australia",-38.46584683754812,146.46293581018753,Unit,3,2,2,"$1,424,415",,A beautiful property located in the heart of VIC.,Agent 921,+61 442 183 979,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.46584683754812,146.46293581018753&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"CPF9+G6 Beloka NSW, Australia",-36.57621302668947,148.71810630170376,Unit,1,3,3,"$1,369,780",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 899,+61 468 540 823,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.57621302668947,148.71810630170376&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"4G7W+R2 Quambatook VIC, Australia",-35.88542521197208,143.5450202088113,House,1,1,2,"$1,592,048",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 836,+61 474 596 529,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.88542521197208,143.5450202088113&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"MMMJ+G8 Boolite VIC, Australia",-36.316181114864484,142.68081528137884,Apartment,5,1,2,"$1,593,525",,A beautiful property located in the heart of VIC.,Agent 623,+61 454 599 696,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.316181114864484,142.68081528137884&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"25GF+F3 The Gap NSW, Australia",-34.973864390958475,147.17267741054795,Unit,4,2,3,"$710,411",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 917,+61 452 962 727,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.973864390958475,147.17267741054795&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"PWQ5+Q3 Comaum SA, Australia",-37.26056004773067,140.90768170887603,House,3,3,2,"$1,545,371",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 972,+61 440 473 110,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.26056004773067,140.90768170887603&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"6HR7+V5 Junee Reefs NSW, Australia",-34.75778080678483,147.56289252746322,Unit,4,3,3,"$1,389,424",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 828,+61 497 142 698,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.75778080678483,147.56289252746322&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"R4QW+QX Murrayville VIC, Australia",-35.16050106337203,141.14744356705083,House,3,1,2,"$740,797",,A beautiful property located in the heart of VIC.,Agent 280,+61 402 446 470,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.16050106337203,141.14744356705083&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"PGGJ+JJ Bangerang VIC, Australia",-36.27342953020975,142.5315398491729,Apartment,2,3,2,"$1,864,246",,A beautiful property located in the heart of VIC.,Agent 491,+61 449 151 884,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.27342953020975,142.5315398491729&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"8PPJ+FP Grong Grong NSW, Australia",-34.66384284165396,146.73184528541879,Unit,5,2,3,"$875,799",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 937,+61 441 283 298,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.66384284165396,146.73184528541879&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"X926+XH Edenhope VIC, Australia",-37.04750186663134,141.3614957902215,Apartment,4,3,3,"$1,175,507",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 509,+61 465 847 949,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.04750186663134,141.3614957902215&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"8M4P+VQ Clifton Creek VIC, Australia",-37.69282844436545,147.68692000930704,Apartment,1,2,3,"$746,746",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 163,+61 407 926 570,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.69282844436545,147.68692000930704&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RG6WQ94+79,-39.08180996090884,144.75596299533282,House,4,2,2,"$1,705,276",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 497,+61 474 660 869,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-39.08180996090884,144.75596299533282&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"79V6+7M Glenmore VIC, Australia",-37.70684977809962,144.3616951115265,Apartment,5,3,2,"$1,134,459",,A beautiful property located in the heart of VIC.,Agent 349,+61 479 448 203,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.70684977809962,144.3616951115265&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"GC4R+GV Lawloit VIC, Australia",-36.49374886432053,141.44212882368188,House,5,3,2,"$1,397,175",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 827,+61 407 789 269,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.49374886432053,141.44212882368188&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"P5WR+VP The Rock NSW, Australia",-35.25281446320414,147.19176111066184,House,1,2,3,"$1,614,132",,A beautiful property located in the heart of VIC.,Agent 693,+61 409 935 847,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.25281446320414,147.19176111066184&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RHCXQPM+XG,-38.01256610345258,148.78381171993618,Unit,2,1,3,"$1,119,972",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 465,+61 474 809 575,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.01256610345258,148.78381171993618&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"W7Q2+5M Edenhope VIC, Australia",-37.062071604945004,141.25172523272406,House,2,1,2,"$1,680,689",,A beautiful property located in the heart of VIC.,Agent 272,+61 488 916 821,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.062071604945004,141.25172523272406&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"3M7F+R6 Sandigo NSW, Australia",-34.935437472187026,146.6730944776206,Apartment,2,3,2,"$1,593,451",,A beautiful property located in the heart of VIC.,Agent 199,+61 427 715 291,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.935437472187026,146.6730944776206&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"GX5Q+VW Merrinee VIC, Australia",-34.490277045133496,141.9897572582925,Unit,1,3,3,"$687,383",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 953,+61 453 972 678,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.490277045133496,141.9897572582925&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"WCWC+MF Numurkah VIC, Australia",-36.053338655822245,145.4211764877263,Unit,1,3,2,"$1,100,859",,A beautiful property located in the heart of VIC.,Agent 849,+61 428 227 203,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.053338655822245,145.4211764877263&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"R5V5+Q7 Morundah NSW, Australia",-35.15550162035471,146.15821176470206,House,2,2,2,"$1,013,706",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 117,+61 470 220 811,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.15550162035471,146.15821176470206&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RGCR2HC+F8,-39.171357143816564,148.02086511941872,Apartment,1,2,1,"$1,437,803",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 465,+61 444 902 671,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-39.171357143816564,148.02086511941872&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"83VJ+5H Bullatale NSW, Australia",-35.657112952591305,145.0814830148507,House,3,1,1,"$740,527",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 313,+61 457 564 400,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.657112952591305,145.0814830148507&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"M5G2+8G Meringur VIC, Australia",-34.32417669101248,141.15136602774595,Apartment,4,2,2,"$1,949,038",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 966,+61 497 767 928,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.32417669101248,141.15136602774595&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"WXHG+7F Brookdale NSW, Australia",-35.07176325906615,146.97616307461087,Apartment,4,2,2,"$1,764,181",,A beautiful property located in the heart of VIC.,Agent 322,+61 470 502 326,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.07176325906615,146.97616307461087&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"C794+74 Mitta Mitta VIC, Australia",-36.58184429287192,147.25532003075463,House,2,1,1,"$1,273,647",,A beautiful property located in the heart of VIC.,Agent 666,+61 490 651 693,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.58184429287192,147.25532003075463&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"M5JR+F9 Wongungarra VIC, Australia",-37.318832949471556,147.19099803754156,House,1,2,3,"$1,693,603",Sun 03 Nov 02:58 AM,A beautiful property located in the heart of VIC.,Agent 860,+61 485 234 839,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.318832949471556,147.19099803754156&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"FPXP+37 Mystic Park VIC, Australia",-35.50229839776042,143.73571558964719,Unit,5,3,2,"$1,540,738",,A beautiful property located in the heart of VIC.,Agent 263,+61 401 810 429,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.50229839776042,143.73571558964719&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"FX64+M6 Tharwa ACT, Australia",-35.53834770563296,148.9555353517936,House,2,2,1,"$1,630,077",,A beautiful property located in the heart of VIC.,Agent 164,+61 474 911 784,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.53834770563296,148.9555353517936&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RHC2W47+44,-38.99468139271743,148.91284957944958,Unit,2,3,2,"$1,201,042",,A beautiful property located in the heart of VIC.,Agent 874,+61 493 372 350,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.99468139271743,148.91284957944958&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"WW77+MQ Dry Plain NSW, Australia",-36.08582262110111,148.914493006595,Apartment,4,3,1,"$1,419,022",,A beautiful property located in the heart of VIC.,Agent 836,+61 403 777 313,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.08582262110111,148.914493006595&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"78M4+8Q Glenaladale VIC, Australia",-37.71674253398577,147.30689300963104,Unit,5,1,3,"$1,916,751",,A beautiful property located in the heart of VIC.,Agent 572,+61 406 808 880,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.71674253398577,147.30689300963104&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"XR7F+4F Breakaway Creek VIC, Australia",-38.03719272436282,141.82368829002587,House,4,1,1,"$1,341,184",,A beautiful property located in the heart of VIC.,Agent 726,+61 403 544 372,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.03719272436282,141.82368829002587&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"MC4J+5M Bidgeemia NSW, Australia",-35.34460678005157,146.4316880253512,House,4,3,1,"$1,623,989",,A beautiful property located in the heart of VIC.,Agent 288,+61 467 299 488,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.34460678005157,146.4316880253512&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"FCV3+7C Pulletop NSW, Australia",-35.50685365468692,147.40352731261962,Apartment,3,1,1,"$625,229",,A beautiful property located in the heart of VIC.,Agent 196,+61 461 504 388,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.50685365468692,147.40352731261962&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"GPXC+JQ Minyip VIC, Australia",-36.450959176550676,142.72192526410026,Unit,4,3,3,"$1,401,170",,A beautiful property located in the heart of VIC.,Agent 410,+61 477 194 395,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.450959176550676,142.72192526410026&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RH9VX57+94,-38.14155161791297,147.96279053315052,Unit,2,2,2,"$1,658,437",,A beautiful property located in the heart of VIC.,Agent 938,+61 469 460 697,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.14155161791297,147.96279053315052&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"76 Connors Ln, Seville VIC 3139, Australia",-37.79838251824802,145.48417182268358,Apartment,5,2,3,"$1,248,591",Sun 03 Nov 02:59 AM,A beautiful property located in the heart of VIC.,Agent 182,+61 408 748 144,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.79838251824802,145.48417182268358&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"V3QM+Q6 Selwyn VIC, Australia",-37.11057928565546,147.0830153105041,House,1,2,1,"$1,658,419",,A beautiful property located in the heart of VIC.,Agent 210,+61 469 372 352,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.11057928565546,147.0830153105041&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"66CQ+G7 Minimay VIC, Australia",-36.7787474766869,141.23824770137057,Apartment,3,3,3,"$1,178,805",Sun 03 Nov 02:59 AM,A beautiful property located in the heart of VIC.,Agent 291,+61 437 590 893,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.7787474766869,141.23824770137057&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"V2W3+6X Bonegilla VIC, Australia",-36.10439847891875,147.00489609062893,Apartment,4,3,2,"$848,545",Sun 03 Nov 02:59 AM,A beautiful property located in the heart of VIC.,Agent 415,+61 443 997 202,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.10439847891875,147.00489609062893&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RH9RXP4+PW,-38.16313957194096,147.95728668462806,Apartment,1,3,3,"$982,006",,A beautiful property located in the heart of VIC.,Agent 378,+61 447 449 582,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.16313957194096,147.95728668462806&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"GQ72+2P Koonda VIC, Australia",-36.487423562855916,145.75178183089574,Unit,1,1,3,"$533,630",Sun 03 Nov 02:59 AM,A beautiful property located in the heart of VIC.,Agent 790,+61 405 328 460,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.487423562855916,145.75178183089574&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"GPW4+9C Riddells Creek VIC, Australia",-37.45412435261285,144.70604395768402,House,1,1,1,"$1,348,127",Sun 03 Nov 02:59 AM,A beautiful property located in the heart of VIC.,Agent 565,+61 491 523 322,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.45412435261285,144.70604395768402&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RQ5CWXX+QQ,-34.55059656444578,143.9494466368351,Unit,1,2,3,"$1,689,349",,A beautiful property located in the heart of VIC.,Agent 172,+61 410 440 385,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.55059656444578,143.9494466368351&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RG4VWW4+M5,-39.1032997194838,142.9053884627031,House,5,2,2,"$807,054",,A beautiful property located in the heart of VIC.,Agent 487,+61 426 201 644,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-39.1032997194838,142.9053884627031&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RQ5J4GF+67,-34.37447840810756,143.12324444941302,Apartment,4,3,3,"$1,383,695",,A beautiful property located in the heart of VIC.,Agent 302,+61 484 425 743,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.37447840810756,143.12324444941302&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"4 Jobson Ct, Mildura VIC 3500, Australia",-34.19034530093737,142.13907319169104,Unit,1,2,2,"$1,139,741",,A beautiful property located in the heart of VIC.,Agent 496,+61 495 357 929,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.19034530093737,142.13907319169104&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
